Name,Stage,Nearest_city,Latitude,Longitude,Category,Description
Granada Cathedral & Central Park,118,Granada,11.92984,-85.95312,Historic / Urban,"Colonial-era cathedral and main plaza at the heart of Granada's historic district; good landmark and meeting point before departure."
Puerto de Asese – Isletas boat docks,118,Granada,11.89869,-85.92973,Lake / Boat tours,"Dock area at the end of Granada's tourist center where small boats depart for tours among the Isletas de Granada on Lake Nicaragua."
Volcán Mombacho (summit area),118,Near Granada,11.82702,-85.95988,Volcano / Nature reserve,"Cloud-forest–covered stratovolcano south of Granada; prominent landmark on the skyline as you ride out along the lake."
La Cruz town center & viewpoint,118/119,La Cruz,11.07419,-85.62910,Town / Viewpoint,"Hilltop town overlooking Bahía Salinas with central park and views across the Pacific and toward Nicaragua."
Playa Hermosa (Guanacaste),119,Playa Hermosa (Guanacaste),10.57587,-85.68056,Beach,"Wide light-sand beach north of Playas del Coco, known for calm water, low green hills, and Blue Flag environmental certification."
Playas del Coco beachfront,119,Playas del Coco,10.55479,-85.69424,Beach / Town,"Main bay and promenade at Playas del Coco, a long-established beach town and hub for diving and fishing in the Gulf of Papagayo."
Paseo de los Turistas waterfront,120,Puntarenas,9.97552,-84.83094,Seafront promenade,"Waterfront walkway along the outer shore of Puntarenas with food stalls, ice cream, and views across the Gulf of Nicoya."
Tarcoles River Crocodile Bridge,121,Tárcoles,9.87918,-84.52754,Wildlife viewpoint,"Highway bridge over the Río Grande de Tárcoles where large American crocodiles can often be seen from the pedestrian walkway."
Carara National Park entrance area,121,Near Tárcoles,9.74700,-84.62800,National park,"Entrance zone for Carara National Park, protecting transition forest between dry and humid Pacific zones; short rainforest trails and rich birdlife."
Playa Hermosa (Central Pacific),121,Near Jacó,9.57785,-84.60940,Beach / Wildlife refuge,"Surf beach within the Playa Hermosa–Punta Mala Wildlife Refuge, important for nesting olive ridley sea turtles."
Playa Esterillos,121,Near Parrita,9.47842,-84.26819,Beach,"Long gray-sand beach (Esterillos area) with mangroves and coastal forest, quieter alternative to more developed resort towns."
Quepos town center,121/Rest,Quepos,9.43187,-84.16191,Town,"Compact coastal town that serves as the gateway to Manuel Antonio; services, local eateries, and bus links up the hill."
Marina Pez Vela,Rest,Quepos,9.42643,-84.16884,Marina / Promenade,"Modern marina complex in Quepos with restaurants, shops, and a broad promenade overlooking fishing boats and yachts."
Manuel Antonio National Park (entrance area),Rest,Manuel Antonio,9.39000,-84.13350,National park,"Entrance area for Manuel Antonio National Park, famous for its dense wildlife, short forest trails, and scenic beaches."
Playa Espadilla Norte,Rest,Manuel Antonio,9.39139,-84.14965,Public beach,"Long public beach just north of the park boundary; easy access from the road, good for swimming, surfing, and sunset without park entry."
