Name,Location,Brief Description
Izapa Archaeological Zone,"14.925, -92.179","Olmec-Maya bridge site (1500 BCE-1200 CE) with 89 stelae including famous Tree of Life stela, aligned with Tacana Volcano"
Finca Argovia,"15.131, -92.173","Historic German coffee plantation from 1880 with boutique hotel, organic coffee tours, 187 hectares of rainforest"
Finca Hamburgo,"15.115, -92.198","1888 German coffee plantation at 1249m elevation, museum, views of Volcan Tacana, coffee tours and tastings"
Tapachula Parque Central,"14.904, -92.258","City center with Casa de Cultura (Art Deco 1929), Church of San Agustin, markets and colonial architecture"
Tacana Volcano,"15.133, -92.109","Mexico-Guatemala border volcano at 4060m, sixth-highest peak in Mexico, dominates Tapachula landscape"
Lake Coatepeque,"13.877, -89.554","Volcanic crater lake, one of largest in Central America, activities include kayaking, swimming, fishing"
Mirador Cerro El Baul,"14.704, -91.864","Viewpoint with panoramic views of Coatepeque region and monument to Tecun Uman"
Quetzaltenango Central Park,"14.834, -91.519","Heart of Xela with Teatro Municipal (1895), cathedral, colonial architecture, local markets"
Teatro Municipal Quetzaltenango,"14.834, -91.519","Neoclassical theater built 1895, known for jazz performances and Juegos Florales literary contest"
Volcan Santa Maria,"14.756, -91.552","Perfect cone volcano at 3770m towering over Quetzaltenango, popular for hiking"
Volcan Santiaguito,"14.736, -91.565","Active volcano at 2500m with frequent small eruptions visible from viewpoints, sunrise hikes available"
Laguna Chicabal,"14.779, -91.647","Sacred crater lake atop volcano, Mayan ceremonial site with cloud forest, spiritual significance"
Fuentes Georginas,"14.764, -91.602","Natural thermal hot springs from Zunil Volcano, surrounded by rainforest and ferns"
Salcaja La Conquistadora,"14.880, -91.465","First cathedral in Central America built 1524, famous for Rompope fermented fruit broth"
Lake Atitlan Overview,"14.691, -91.220","Volcanic caldera lake at 1562m, 340m deep, surrounded by three volcanoes and 11 Maya villages"
Volcan San Pedro,"14.656, -91.272","3020m volcano, most popular for hiking from San Pedro La Laguna, 3-5 hour summit hike"
Volcan Toliman,"14.612, -91.189","3158m volcano with two peaks and imploded crater, cloud forest trails, 3-5 hour hike"
Volcan Atitlan,"14.583, -91.186","3535m active volcano (last erupted 1856), most challenging hike, overnight camping recommended"
Santiago Atitlan Town,"14.637, -91.227","Largest traditional Tz'utujil Maya town on Lake Atitlan at 1568m, rich cultural traditions"
Parroquia Santiago Apostol,"14.638, -91.228","Colonial church in Santiago Atitlan, 16th-century architecture, focal point of community"
Maximon Shrine Santiago,"14.637, -91.227","Shrine to Maya-Catholic folk saint Maximon (San Simon), moves annually, offerings include tobacco and candles"
Parque de Paz Santiago,"14.638, -91.228","Civil War memorial to 1990 massacre where 14 civilians killed, somber historical reminder"
Rey Tepepul Nature Reserve,"14.632, -91.235","Cloud forest reserve for quetzal bird viewing, early morning guided hikes, monkeys and rare birds"
San Juan La Laguna,"14.698, -91.277","Art galleries, textile cooperatives, colorful murals, women's weaving workshops with natural dyes"
San Pedro La Laguna,"14.696, -91.272","Backpacker hub with volcano hiking, restaurants, nightlife, Spanish schools"
San Marcos La Laguna,"14.717, -91.274","Wellness center of lake with yoga, meditation, reiki, holistic therapies, peaceful atmosphere"
Panajachel,"14.743, -91.159","Main tourist hub with Santander Street markets, boat departure point for lake villages"
Antigua Parque Central,"14.558, -90.734","Central plaza with reconstructed fountain, surrounded by cathedral, Palace of Captains, cafes"
Arco de Santa Catalina,"14.559, -90.733","Iconic yellow arch built 1693 connecting convent to school, frames Volcan de Agua perfectly"
La Merced Church,"14.556, -90.734","Spectacular Baroque yellow facade with intricate details, large fountain in courtyard, active church"
Cathedral San Jose Antigua,"14.558, -90.733","Main cathedral on plaza, mixture of active church and earthquake ruins, significant religious landmark"
Cerro de la Cruz Viewpoint,"14.563, -90.733","Hilltop viewpoint overlooking Antigua and Volcan de Agua, 15-20 minute walk, best at sunset"
Convento de Capuchinas,"14.557, -90.737","Well-preserved convent ruins with unique circular architecture, beautiful example of colonial religious architecture"
Museo Casa Santo Domingo,"14.556, -90.734","Former monastery now hotel and museum with colonial art, archaeology, Mayan artifacts, beautiful gardens"
ChocoMuseo Antigua,"14.558, -90.734","Interactive chocolate-making workshops, bean-to-bar process, family-friendly Guatemalan chocolate experience"
Volcan de Agua,"14.465, -90.743","3760m perfect cone volcano dominating Antigua skyline, can be climbed with guide"
Volcan de Fuego,"14.473, -90.880","3763m very active volcano with frequent eruptions visible from Antigua, not climbable due to danger"
Volcan Acatenango,"14.501, -90.876","3976m volcano with popular overnight camping trips to watch Fuego erupt, challenging but spectacular"
Finca Filadelfia Antigua,"14.544, -90.726","Coffee plantation with tours showing bean-to-cup process, tastings with different brewing methods"
